date,uuid,rank,username,lastJoined,daysLastJoined,playtime,wars,graids,lootruns,raids,totalLevel,contentCompletion
2026-03-01T05:14:45.924996Z,511c4018-f6ca-4ccb-a698-9b64b07c6ad3,RECRUIT,aIfaa,2026-02-24T11:49:28.720000Z,4.726,37.75,0,1,0,1,406,333
2026-03-01T05:14:45.924996Z,1ebcb3ff-2695-4a54-b482-a22081cb024a,RECRUIT,erik_9453,2026-02-11T03:24:11.296000Z,18.077,41.5,0,0,0,0,828,314
2026-03-01T05:14:45.924996Z,31cc44b4-4c2d-4d88-8e41-f4a4b0337346,RECRUIT,TheKzR,2026-02-24T10:01:51.382000Z,4.801,89.5,0,0,5,3,262,508
2026-03-01T05:14:45.924996Z,a4fa7dd2-7cd7-4626-b9f6-3284fc16557a,RECRUIT,GrayR0ot,2026-02-28T18:48:05.836000Z,0.435,250.42,0,0,0,6,2027,1379
2026-03-01T05:14:45.924996Z,02115748-53c2-4a43-afd7-5412d8e01f8a,RECRUIT,Budiono,2026-02-28T03:57:56.402000Z,1.053,2685.42,1611,0,3,360,12264,3266
2026-03-01T05:14:45.924996Z,94591244-b96c-4675-99fc-b4e9abfac6de,RECRUIT,cheeseball01,2026-02-21T01:39:04.909000Z,8.15,1786.58,80,71,5,342,5285,2408
2026-03-01T05:14:45.924996Z,1285f316-0b50-4d36-ae61-a02ed620c8ff,RECRUIT,skrybs,2026-02-25T02:01:27.901000Z,4.134,1170.5,0,0,1,5,7766,5045
2026-03-01T05:14:45.924996Z,4489c7f5-9d5a-4b32-b0a3-e2dd9ae619ab,RECRUIT,Laborious,2026-02-26T04:39:03.954000Z,3.025,783.33,52,0,4,46,3126,2341
2026-03-08T05:05:03.417889Z,a8e5c7c3-444f-4436-b69f-a8db58cdf40d,OWNER,Nqn,2026-03-08T05:01:42.985000Z,0.002,691.58,403,90,3,527,1811,1037
2026-03-08T05:05:03.417889Z,91be9a75-7398-47e0-8c4d-f79df2fc035f,CHIEF,Tisumi,2026-03-08T05:01:50.557000Z,0.002,1078.83,504,211,2,989,2954,2139
2026-03-08T05:05:03.417889Z,1b6568dd-4e58-442f-918f-90926f58de0c,CHIEF,clohi,2026-03-07T20:56:12.623000Z,0.339,2406.5,139,55,4,374,5270,3090
2026-03-08T05:05:03.417889Z,5652732f-e36b-4ca4-87ca-59f9c6dc3ba1,CHIEF,_N8,2026-03-08T05:02:02.069000Z,0.002,632.25,298,11,1,75,1441,1505
2026-03-08T05:05:03.417889Z,0a19dd60-254e-4c48-9d76-1b57a2f12c7f,CHIEF,GigaFanDeJul,2026-03-07T01:32:44.315000Z,1.147,715.17,182,107,1,204,2686,1227
2026-03-08T05:05:03.417889Z,4a82c3ac-be5d-4115-a822-f2a9c7bdb096,CHIEF,Krijer1,2026-03-07T17:12:31.726000Z,0.495,627.08,186,42,5,173,3407,1779
2026-03-08T05:05:03.417889Z,845eed02-175a-44b4-87a2-0228b1fbc3ee,CHIEF,H1V,2026-03-07T02:16:15.800000Z,1.117,1171.0,29,180,5,459,3273,3433
2026-03-08T05:05:03.417889Z,bd5c1697-4d42-41dd-a4f2-2c8a3a669104,CHIEF,Shivnitzl19,2026-03-08T00:32:38.143000Z,0.189,6979.17,39,19,5,480,18850,4993
2026-03-08T05:05:03.417889Z,eb33d516-a34b-4050-bd2c-69a24bf0bd75,CHIEF,Chevacchi,2026-03-07T16:36:16.339000Z,0.52,378.33,646,14,0,29,1033,756
2026-03-08T05:05:03.417889Z,1a3f6b2a-993b-49ed-8542-7584081864b6,CHIEF,Xentell,2026-03-02T09:40:58.568000Z,5.808,256.0,37,9,5,49,1155,778
