date,uuid,rank,username,lastJoined,daysLastJoined,playtime,wars,graids,lootruns,raids,totalLevel,contentCompletion
2026-02-25T20:31:13.565683Z,4c0e0ac7-49e1-4590-b4d6-8fe2f1ca1e26,RECRUITER,Firetornado2312,2026-02-25T03:42:36.933000Z,0.7,48.33,1,0,0,1,219,319
2026-02-25T20:31:13.565683Z,aed8039a-4d4e-40e9-ab22-d1ec544ba155,RECRUITER,mirceatim,2026-02-16T19:29:18.875000Z,9.043,19.17,0,0,0,0,371,145
2026-02-25T20:31:13.565683Z,467ed4aa-50fe-45b3-8705-b65d2a713a8c,RECRUITER,Rinnn0424,2026-02-14T08:16:05.625000Z,11.511,1065.92,0,2,4,638,1254,1320
2026-02-25T20:31:13.565683Z,6f327520-de36-4695-b8f1-f67558d0d4fc,RECRUITER,White_plague,2026-02-18T08:32:06.033000Z,7.499,153.75,0,0,0,0,821,1193
2026-02-25T20:31:13.565683Z,85017f3e-4643-454b-a315-f158dd3971dd,RECRUITER,vamqir,2026-02-23T18:13:20.206000Z,2.096,30.67,1,0,0,0,889,210
2026-02-25T20:31:13.565683Z,d99b449a-7b7b-4561-a646-459bf8ab0825,RECRUITER,ottehall,2026-02-04T20:01:39.604000Z,21.021,23.25,0,1,0,1,210,154
2026-02-25T20:31:13.565683Z,cfc0ef1a-1951-4343-9adb-7ceb949b06c0,RECRUITER,DynemoRC,2026-02-16T19:19:37.394000Z,9.05,26.75,0,0,0,0,206,174
2026-02-25T20:31:13.565683Z,9867e87a-e526-4da0-8945-e91f339409cc,RECRUITER,VenonatGX,2026-02-22T23:31:07.006000Z,2.875,880.33,1,0,5,548,3357,2161
2026-02-25T20:31:13.565683Z,eb1d2b6f-cd58-4cc8-b389-05bbfa831a3e,RECRUITER,djderpcat,2026-02-18T15:20:30.007000Z,7.216,23.17,0,0,0,0,976,325
2026-02-25T20:31:13.565683Z,d3abfd17-2a07-45b1-a5b0-9b76800b53f4,RECRUITER,S6kuna,2026-02-10T10:51:02.452000Z,15.403,83.75,0,0,0,3,299,535
2026-02-25T20:31:13.565683Z,4ee827d7-5300-4f49-a5ba-3945e454460a,RECRUITER,GoDz_OneManArmy,2026-01-04T08:45:27.880000Z,52.49,34.75,0,0,0,0,807,122
2026-02-25T20:31:13.565683Z,6582d74d-9b97-435e-9781-66cf2aedb17a,RECRUIT,Feather_Storm,2026-02-24T19:15:30.864000Z,1.053,341.0,0,0,2,13,1375,788
2026-02-25T20:31:13.565683Z,283536d3-5e6f-4c8d-a23b-9fa8a8b50f18,RECRUIT,notBirdblade,2026-02-25T20:29:09.389000Z,0.001,104.0,0,0,3,21,999,823
2026-02-25T20:31:13.565683Z,b22cfe82-4f5d-4b43-b63f-8e33bf3d7835,RECRUIT,SewageFarts,2026-02-23T22:50:25.241000Z,1.903,42.75,23,1,1,5,603,358
2026-02-25T20:31:13.565683Z,fff311d0-b571-4b80-baa2-43adfe981448,RECRUIT,ZicZac,2026-02-24T03:58:48.681000Z,1.689,323.08,0,0,0,42,1865,1719
2026-02-25T20:31:13.565683Z,bd589667-31d5-4f6c-95b8-04ddad4b241f,RECRUIT,iParadox1122,2026-02-19T06:57:07.851000Z,6.565,98.75,0,0,1,15,1095,620
2026-02-25T20:31:13.565683Z,4bfb9baf-7347-43c8-9c4d-5c55b27c780e,RECRUIT,Ryuuchen,2026-02-25T20:26:22.643000Z,0.003,170.0,0,0,2,5,1599,1070
2026-02-25T20:31:13.565683Z,1b6b5470-e8d6-48c8-a553-5bb52395a662,RECRUIT,Kanaefx,2026-02-21T07:50:20.963000Z,4.528,135.67,0,0,2,16,275,657
2026-02-25T20:31:13.565683Z,2adb411c-37e2-491c-8afd-9a38fc4fdf06,RECRUIT,_Hammie_,2026-02-23T18:59:21.490000Z,2.064,79.17,0,0,0,3,278,689
2026-02-25T20:31:13.565683Z,502073b4-06bc-4f30-8a4f-115e6c9e35af,RECRUIT,Endyre,2026-02-24T23:25:20.081000Z,0.879,1504.92,49,14,5,136,9503,6019
2026-02-25T20:31:13.565683Z,3ee651c0-59d3-452d-a98d-214d717bef83,RECRUIT,nawe69,2026-02-18T16:41:05.317000Z,7.16,56.42,0,0,0,0,225,330
2026-02-25T20:31:13.565683Z,733e86a2-b926-4257-9658-81a990d2ac0a,RECRUIT,F1NLAY01,2026-02-09T09:58:36.858000Z,16.439,151.5,0,0,0,1,941,911
2026-02-25T20:31:13.565683Z,511c4018-f6ca-4ccb-a698-9b64b07c6ad3,RECRUIT,aIfaa,2026-02-24T11:49:28.720000Z,1.362,37.75,0,1,0,1,406,333
2026-02-25T20:31:13.565683Z,1ebcb3ff-2695-4a54-b482-a22081cb024a,RECRUIT,erik_9453,2026-02-11T03:24:11.296000Z,14.713,41.5,0,0,0,0,828,314
2026-02-25T20:31:13.565683Z,31cc44b4-4c2d-4d88-8e41-f4a4b0337346,RECRUIT,TheKzR,2026-02-24T10:01:51.382000Z,1.437,89.5,0,0,5,3,262,508
2026-02-25T20:31:13.565683Z,a4fa7dd2-7cd7-4626-b9f6-3284fc16557a,RECRUIT,GrayR0ot,2026-02-22T22:43:53.646000Z,2.908,226.5,0,0,0,1,1995,1245
2026-02-25T20:31:13.565683Z,02115748-53c2-4a43-afd7-5412d8e01f8a,RECRUIT,Budiono,2026-02-25T00:39:12.715000Z,0.828,2685.33,1611,0,3,360,12264,3266
2026-02-25T20:31:13.565683Z,94591244-b96c-4675-99fc-b4e9abfac6de,RECRUIT,cheeseball01,2026-02-21T01:39:04.909000Z,4.786,1786.58,80,71,5,342,5285,2408
2026-02-25T20:31:13.565683Z,1285f316-0b50-4d36-ae61-a02ed620c8ff,RECRUIT,skrybs,2026-02-25T02:01:27.901000Z,0.771,1170.5,0,0,1,5,7766,5045
